"title","share_title","share_description","content"
"讲解：日常生活觉察之行走","讲解：日常生活觉察之行走","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习：正念行走","练习：正念行走","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解：日常生活觉察之饮食","讲解：日常生活觉察之饮食","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习：正念饮食","练习：正念饮食","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 不被察觉的情绪如何影响我们的行为","讲解: 不被察觉的情绪如何影响我们的行为","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 给情绪命名","练习: 给情绪命名","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 如何表达情绪而不是情绪发泄","讲解: 如何表达情绪而不是情绪发泄","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 情绪整合","练习: 情绪整合","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 如何与脑海中冒出的各种杂念相处","讲解: 如何与脑海中冒出的各种杂念相处","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 心的安全区","练习: 心的安全区","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 你愿意做自己的朋友吗","讲解: 你愿意做自己的朋友吗","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 友善的对待自己","练习: 友善的对待自己","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 如何能让自己专注于此时此刻","讲解: 如何能让自己专注于此时此刻","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 泡茶","练习: 泡茶","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 你的成长受到哪些核心信念的影响","讲解: 你的成长受到哪些核心信念的影响","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 觉察核心信念","练习: 觉察核心信念","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 童年缺失的经历如何影响现在的你","讲解: 童年缺失的经历如何影响现在的你","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习: 觉察缺失经历","练习: 觉察缺失经历","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解： 如何通过非语言信息洞察他人","讲解： 如何通过非语言信息洞察他人","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习： 追踪作业","练习： 追踪作业","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解: 如何通过性格策略了解他人","讲解: 如何通过性格策略了解他人","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“我并不受欢迎”的克制型性格","“我并不受欢迎”的克制型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“我必须做更好”的生产型性格","“我必须做更好”的生产型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“没人在乎我的存在”的保存型性格","“没人在乎我的存在”的保存型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“我赢，你就输”的扩张型性格","“我赢，你就输”的扩张型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“没有人在听我的话”的吸引型性格","“没有人在听我的话”的吸引型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“我顺从才会被爱”的忍耐型性格","“我顺从才会被爱”的忍耐型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"“我需要一切靠自己”的自我依赖型性格","“我需要一切靠自己”的自我依赖型性格","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解： 正念中的临在是一种什么样的状态","讲解： 正念中的临在是一种什么样的状态","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习： 非自我中心的滋养","练习： 非自我中心的滋养","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解：如何学会感恩并激发他人的善意","讲解：如何学会感恩并激发他人的善意","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习： 某一刻，ta慷慨待我","练习： 某一刻，ta慷慨待我","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"讲解： 为什么要学习慈悲","讲解： 为什么要学习慈悲","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"练习： 感受慈悲","练习： 感受慈悲","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"经典慈悲练习1-就像我一样","经典慈悲练习1-就像我一样","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"经典慈悲练习2-祝愿你","经典慈悲练习2-祝愿你","重新连结属于自己内心的智慧，把丢失的能力找回来","重新连结属于自己内心的智慧，把丢失的能力找回来"
"引导词","引导词","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"睡前呼吸练习","睡前呼吸练习","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"478呼吸法","478呼吸法","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"回到身体","回到身体","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"舒缓身心","舒缓身心","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"沉淀思绪","沉淀思绪","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"思维的力量","思维的力量","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"沉入放松","沉入放松","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"慈心冥想","慈心冥想","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"视觉化想象","视觉化想象","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"整合练习","整合练习","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。","10天循序渐进的引导练习，帮助你学会深度放松技巧，纾解压力，缓解焦虑，消除睡眠障碍，提升睡眠品质。"
"4天冥想入门课（第二十九期）","4天冥想入门课（第二十九期）","Now冥想专业冥想老师全程带领，高效入门冥想","如果你是 

- 0基础小白 听过冥想却不知道从哪儿开始 
- 尝试过冥想 却无法坚持 
- 希望通过简单的方法 放松减压 缓解焦虑 
- 长期失眠睡不好，想要安睡整夜 

那就来听4天冥想入门课吧。通过这4天的练习，你会了解什么是冥想，如何冥想，如何应对冥想中的常见问题，如何快速静下心来，快速回到当下。"
"湖中的观鸟台","漫游野生动物保护区|高品质睡眠故事","给成人的睡前故事，快来收听吧","今天，我将带你一起漫步去美丽的野生动物保护区，感受这里的美景以及带给我们的放松平静的感觉。"
"时间和生死|觉醒在此刻九","时间和生死|觉醒在此刻九","我们一起用一年的时间去探索语言、想法、觉察、爱、恐惧、时间、生死等等。","觉醒在此刻第九讲，真正的冥想就是了悟生死，无我、无惧，才能自由、自在。"
"Theta睡眠","Theta睡前仪式 | 脑波助眠","逐步引导大脑从过度活跃到内心平和的转变，营造绝佳睡前氛围，建立健康稳定的睡眠周期。","逐步引导大脑从过度活跃到内心平和的转变，营造绝佳睡前氛围，建立健康稳定的睡眠周期。"
"放松冥想：简单的当下","放松冥想：简单的当下","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","打开觉知、感受当下，带你走出自己的思绪，从而打破压力循环。"
"放松冥想：降低强烈程度","放松冥想：降低强烈程度","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","软化你关注一切事物的方式，镇静你的神经系统，降低强烈程度。"
"放松冥想：放下行动模式","放松冥想：放下行动模式","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","安住当下，借此解放你的身心，进入放松过程。"
"放松冥想：允许一切如其所是","放松冥想：允许一切如其所是","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","允许事物如其所是、顺其自然，软化你对放松的任何潜在抗拒。"
"放松冥想：沉入，放松","放松冥想：沉入，放松","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","沉入，让你稳定下来，减轻身体压力。"
"放松冥想：呼吸，放松","放松冥想：呼吸，放松","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","延长和打开你的呼吸，帮助你平静内心，释放紧张。"
"放松冥想：允许自己休息","放松冥想：允许自己休息","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","让身心得到充分的休息，整个人慢慢放松。"
"放松冥想：创造更多个人空间","放松冥想：创造更多个人空间","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","增强个人空间感，让你更容易全然放松。"
"放松冥想：自我关怀","放松冥想：自我关怀","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","善待自己，使你获得安全感，放松下来。"
"综合练习：融会贯通","综合练习：融会贯通","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","综合之前所学到的冥想放松技巧，把它们运用到每天的生活中。"
"按摩减压技法（一）","按摩减压技法（一）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（二)","按摩减压技法（二)","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（三）","按摩减压技法（三）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（四）","按摩减压技法（四）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（五）","按摩减压技法（五）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（六）","按摩减压技法（六）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（七）","按摩减压技法（七）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（八）","按摩减压技法（八）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（九）","按摩减压技法（九）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"按摩减压技法（十）","按摩减压技法（十）","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：美食","一分钟正念实践：美食","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：正念洗手","一分钟正念实践：正念洗手","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：和心散散步","一分钟正念实践：和心散散步","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：正念洗碗","一分钟正念实践：正念洗碗","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：片刻沉默","一分钟正念实践：片刻沉默","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：断舍离","一分钟正念实践：断舍离","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：正念喝水","一分钟正念实践：正念喝水","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：携书同行","一分钟正念实践：携书同行","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：养一盆植物","一分钟正念实践：养一盆植物","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"一分钟正念实践：联系","一分钟正念实践：联系","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！","我正在Now冥想参加10天放松冥想计划，快来和我一起吧！"
"5日情绪疏导课（第二十九期）","5日情绪疏导课（第二十九期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"MBSR正念减压练习","MBSR正念减压练习","本专辑精选了正念减压8周课（MBSR）的经典练习。通过系统的、动静结合的正念练习，缓解压力，放松身心。","本专辑精选了正念减压8周课（MBSR）的经典练习。通过系统的、动静结合的正念练习，缓解压力，放松身心。"
"正念适应季节的变化","正念适应季节的变化","",""
"给情绪一个爱的空间","给情绪一个爱的空间","",""
"积极倾听7步法","积极倾听7步法","",""
"正念呼吸","","",""
"5日情绪疏导课（第三十期）","5日情绪疏导课（第三十期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"5日情绪疏导课（第三十一期）","5日情绪疏导课（第三十一期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"5日情绪疏导课（第三十二期）","5日情绪疏导课（第三十二期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"4天冥想入门课（第三十期）","4天冥想入门课（第三十期）","Now冥想专业冥想老师全程带领，高效入门冥想","如果你是 

- 0基础小白 听过冥想却不知道从哪儿开始 
- 尝试过冥想 却无法坚持 
- 希望通过简单的方法 放松减压 缓解焦虑 
- 长期失眠睡不好，想要安睡整夜 

那就来听4天冥想入门课吧。通过这4天的练习，你会了解什么是冥想，如何冥想，如何应对冥想中的常见问题，如何快速静下心来，快速回到当下。"
"从给予中获得幸福感","从给予中获得幸福感","",""
"看见并释放侵入性想法","","",""
"看到事情的积极面","看到事情的积极面","",""
"纯净之声","纯净之声|精选助眠音乐","全新音乐形式，帮助摆脱思维僵化、净化消极心理能量、放松每一个细胞、找回身体自然节律，重获高质量睡眠。","全新音乐形式，帮助摆脱思维僵化、净化消极心理能量、放松每一个细胞、找回身体自然节律，重获高质量睡眠。"
"MBSR正念减压练习","MBSR正念减压练习","本专辑精选了正念减压8周课（MBSR）的经典练习。通过系统的、动静结合的正念练习，缓解压力，放松身心。","本专辑精选了正念减压8周课（MBSR）的经典练习。通过系统的、动静结合的正念练习，缓解压力，放松身心。"
"5日情绪疏导课（第三十三期）","5日情绪疏导课（第三十三期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"5日情绪疏导课（第三十四期）","5日情绪疏导课（第三十四期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"正念运动","正念运动","",""
"放弃","放弃","",""
"疼痛的智慧","疼痛的智慧","",""
"应对挑战性情绪","","",""
"5日情绪疏导课（第三十五期）","5日情绪疏导课（第三十五期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"神圣之地","神圣之地|减压静心曲","古朴乐器音乐引导我们收拢思绪，平静心绪。同时结合大自然美妙声音，戴上耳机，就能随时随地放松身心，享受超感官的沉浸式聆听体验。","古朴乐器音色引导我们收拢思绪，平静心绪。同时结合大自然美妙声音，戴上耳机，就能随时随地放松身心，享受超感官的沉浸式聆听体验。"
"5日情绪疏导课（第三十六期）","5日情绪疏导课（第三十六期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"4天冥想入门课（第三十一期）","4天冥想入门课（第三十一期）","Now冥想专业冥想老师全程带领，高效入门冥想","如果你是 

- 0基础小白 听过冥想却不知道从哪儿开始 
- 尝试过冥想 却无法坚持 
- 希望通过简单的方法 放松减压 缓解焦虑 
- 长期失眠睡不好，想要安睡整夜 

那就来听4天冥想入门课吧。通过这4天的练习，你会了解什么是冥想，如何冥想，如何应对冥想中的常见问题，如何快速静下心来，快速回到当下。"
"日常活动中的正念练习","日常活动中的正念练习","",""
"成为更好的自己","成为更好的自己","",""
"驾驭困难的情绪","驾驭困难的情绪","",""
"带着敬畏心走路","带着敬畏心走路","",""
"5日情绪疏导课（第三十七期）","5日情绪疏导课（第三十七期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"喜悦心·Kirtan瑜伽唱诵","喜悦心·Kirtan瑜伽唱诵","音乐和静心 可以治愈世界","<img src=""https://hwcdn.navoinfo.cn/resource/Now/picture/courseImg/202207/62c5319c289ef.jpg"" alt="""" />"
"庆祝暂停的力量","庆祝暂停的力量","",""
"解决工作中的冲突","解决工作中的冲突","",""
"用心沟通","用心沟通","",""
"自由练习-轻人声引导","自由练习-轻人声引导","专为冥想进阶打造。通过减少人声引导，增加自主练习时间加深我们的练习体验。","通过增加整个冥想时长以及减少冥想过程中的人声引导，增加自主练习时间，加深我们的练习体验。"
"5日情绪疏导课（第三十八期）","5日情绪疏导课（第三十八期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"新手入门第一课","和我一起学正念冥想吧~","Now 冥想倾力打造，0基础小白入门训练营。专业冥想入门课程。","练习完成后，你会对正念冥想有一个清晰的概念，并掌握基本的冥想技巧和方法 。"
"健脾益血脑波","健脾益血 | 脑波黑科技","促使脾脏更好地运转协作，抵抗疾病，滋养气血，强健体魄","促使脾脏更好地运转协作，抵抗疾病，滋养气血，强健体魄"
"5日情绪疏导课（第三十九期）","5日情绪疏导课（第三十九期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"人声引导冥想","人声引导冥想","通过专业老师引导，从入门到进阶，逐步加深我们的练习体验。","通过专业老师引导，从入门到进阶，逐步加深我们的练习体验。"
"自由练习","无人声引导冥想","我们每个人就是自己最好的引导者。让疲惫生活中的自我在冥想中彻底的放松下来吧！","我们每个人就是自己最好的引导者。让疲惫生活中的自我在冥想中彻底的放松下来吧！"
"正念的疗愈力量，一种新的生活方式","正念的疗愈力量，一种新的生活方式","提前带你解读当代正念之父卡巴金老师新作第三本","继《冥想不是你想的那样》、《醒来，如何正念生活》之后，今天带来卡巴金老师这个系列第三本书，这本书原名是《The healing power of Mindfulness》。这本书的分享者-瑞鹏老师，也是本书的翻译者之一，目前中文版还未上市，老师和出版社暂定的中文名字是《正念的疗愈力量，一种新的生活方式》"
"5日情绪疏导课（第四十期）","5日情绪疏导课（第四十期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
"4天冥想入门课（第三十二期）","4天冥想入门课（第三十二期）","Now冥想专业冥想老师全程带领，高效入门冥想","如果你是 

- 0基础小白 听过冥想却不知道从哪儿开始 
- 尝试过冥想 却无法坚持 
- 希望通过简单的方法 放松减压 缓解焦虑 
- 长期失眠睡不好，想要安睡整夜 

那就来听4天冥想入门课吧。通过这4天的练习，你会了解什么是冥想，如何冥想，如何应对冥想中的常见问题，如何快速静下心来，快速回到当下。"
"30天正念晨修营（第五期）","30天正念晨修营（第五期）","30天直播面对面，开启冥想新生活","这是一个彻底脱胎换骨的蜕变，影响你一生
这是一次转换你大脑思维方式，重塑新习惯的智慧选择
从无意识到有意识的改变，从浑噩茫然到清醒觉醒"
"星空下的露营","星空下的露营 | 助眠故事","绝美原生态高原草甸，璀璨星河，揽夜入怀。","欢迎来到Now 睡眠故事。今天的旅行，邀请你和我一起穿越绝美原生草甸，登上山顶，体验星空下的露营。在那里你可以尽情享受璀璨星河，揽夜入怀，全然放松，自在入眠。"
"5日情绪疏导课（第四十一期）","5日情绪疏导课（第四十一期）","带你深度觉察、接纳情绪，摆脱负面情绪困扰","如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。如果你是
-想拥有融洽职场关系的人
-想改善家庭氛围的人
-想要提升个人生活状态的人

通过5日情绪疏导课，你会得到更好的情绪感知能力、更好的情绪觉察能力、更好的情绪调节能力。"
